nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
Adams LLC,Tecnologia,Mexico,2500,BR-00061,2024-08-15,2025-03-25,Ataque de Fuerza Bruta,Critica,1090447,664149.05,US-006809,user_esims_6808,de18e12fa4e67fd5646d0c9750b70848,Brasil,2023-10-05,Numero de Identificacion,Alta,2025-04-06
Cruz PLC,Gobierno,Peru,100,BR-00569,2024-08-15,2024-09-03,Ransomware,Media,4413524,18060505.88,US-005338,user_hinessusan_5337,35a39832dcb98dd8ed9f0fd3995638a6,Panama,2021-06-09,Numero de Tarjeta de Credito,Critica,2024-10-26
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00740,2025-01-16,2025-02-07,Insider Malicioso,Alta,275471,23411450.37,US-005333,user_janetmartinez_5332,775ee8791a3550f1b3da99048cc6279f,Estados Unidos,2018-08-11,Historial de Transacciones,Alta,2025-05-02
"Mitchell, Reyes and Bender",Telecomunicaciones,Ecuador,10000,BR-00793,2025-11-23,2026-05-14,Ransomware,Alta,4279612,4535132.34,US-005665,user_garciapamela_5664,7e828b94b95e6993b50bd33a88c1b3f3,Argentina,2022-05-13,Historial de Transacciones,Alta,2026-06-09
"Mason, Hanson and Graham",Gobierno,Chile,5000,BR-00623,2021-11-08,2022-03-09,Credenciales Filtradas de Terceros,Baja,4891932,14874044.02,US-000435,user_tinaherrera_434,d422714ee9d3b0a836221d2504898434,Panama,2018-04-26,Correo Electronico,Media,2022-05-12
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00733,2026-02-12,2026-05-21,Configuracion Erronea de Servidor,Critica,762913,19546713.97,US-002903,user_cummingslisa_2902,f1e38b84d92f2b38b89b4217f88cbc28,Mexico,2024-05-08,Nombre Completo,Baja,2026-08-08
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00153,2022-09-27,2023-03-02,Credenciales Filtradas de Terceros,Baja,3572225,17281852.76,US-000286,user_obenson_285,86899b7fefb193ccdbefd1473ef23145,Panama,2022-10-19,Historial de Transacciones,Alta,2023-03-15
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00652,2026-02-27,2026-07-14,Configuracion Erronea de Servidor,Media,2404075,16999981.08,US-007755,user_brent67_7754,e883b62ed8c521eec382ca7bc29ea009,Ecuador,2026-01-28,Historial Medico,Critica,2026-09-22
Gallegos-Wilkerson,Salud,Panama,25000,BR-00133,2025-11-16,2026-03-14,Ataque de Fuerza Bruta,Critica,1420151,22434273.22,US-000513,user_xadams_512,b189fb8177176efc15517ec670712fc6,Peru,2021-03-30,Direccion Fisica,Media,2026-05-09
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00608,2025-10-18,2026-04-20,Configuracion Erronea de Servidor,Baja,224867,11012711.81,US-001141,user_lstewart_1140,74b2395bbaac3f02d1fc0bc5a91c920a,Ecuador,2020-07-09,Nombre Completo,Baja,2026-07-01
