nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
"Cline, Hampton and Perez",Retail,Colombia,1000,BR-00510,2023-01-10,2023-04-19,Explotacion de Vulnerabilidad Sin Parche,Baja,1987269,22889456.98,US-004765,user_alexander19_4764,eb00a67e1f0e84adc8771e9655abec2e,Chile,2021-04-15,Numero Telefonico,Baja,2023-05-18
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00740,2025-01-16,2025-02-07,Insider Malicioso,Alta,275471,23411450.37,US-006654,user_jennifer82_6653,5783476fa151d26209707f973876332c,Ecuador,2020-02-27,Fecha de Nacimiento,Baja,2025-04-18
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00465,2021-10-09,2021-12-18,Phishing,Baja,4007523,14641300.4,US-003039,user_smithvictor_3038,f8c4e69ac5d761d7d1af5318016d9635,Panama,2025-10-26,Correo Electronico,Media,2022-03-17
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00343,2021-10-23,2022-03-14,Ataque a Cadena de Suministro,Media,3518126,21646861.85,US-000564,user_whitemichael_563,c0353c37d92c03b38652c384c5f91b43,Espana,2024-06-23,Fecha de Nacimiento,Baja,2022-05-18
"Combs, Kent and Higgins",Retail,Argentina,50000,BR-00463,2025-12-29,2026-04-21,Ataque de Fuerza Bruta,Critica,3612633,17904757.37,US-007116,user_juarezanthony_7115,e3eed31d4154640ceba6646d40d47b36,Estados Unidos,2019-06-27,Contrasena,Alta,2026-05-29
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00347,2026-03-22,2026-04-25,Phishing,Media,4302767,8125549.59,US-007407,user_cartersara_7406,612356f904bc5141f5eacf3e12fb7e51,Colombia,2019-09-19,Correo Electronico,Media,2026-07-17
Gallegos-Wilkerson,Salud,Panama,25000,BR-00234,2021-12-16,2022-02-26,Configuracion Erronea de Servidor,Media,2070092,12749640.05,US-005462,user_wlee_5461,241d4d00602e668028e76becbb41ea3c,Peru,2024-02-23,Nombre Completo,Baja,2022-05-07
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00063,2025-01-30,2025-04-05,Phishing,Alta,2252587,13582057.95,US-003232,user_btucker_3231,50db012cc68f20cb7bc6644b84cf6d2e,Costa Rica,2018-08-05,Numero de Identificacion,Alta,2025-07-02
Little-Garcia,Manufactura,Panama,50,BR-00574,2026-05-27,2026-08-08,Ataque de Fuerza Bruta,Baja,928854,8224834.04,US-004486,user_xlee_4485,07c8cc50d74176e9018493cf65ec6243,Mexico,2016-10-11,Correo Electronico,Media,2026-08-26
Reed-Weiss,Gobierno,Uruguay,100,BR-00402,2025-03-15,2025-07-27,Phishing,Media,1351990,8868016.96,US-005320,user_aturner_5319,6de63f51852bcc1349bfaf047fdc8594,Colombia,2020-01-19,Correo Electronico,Media,2025-10-05
