nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
Baker-Stewart,Telecomunicaciones,Argentina,100,BR-00534,2025-08-20,2025-11-21,Phishing,Baja,1865532,12582776.65,US-007663,user_kyle96_7662,eaa506ae18daa8f5202b67a3f619b61e,Espana,2024-08-27,Historial Medico,Critica,2025-12-20
Little-Garcia,Manufactura,Panama,50,BR-00148,2024-08-14,2025-03-29,Ransomware,Alta,725688,19682579.42,US-001021,user_reesejamie_1020,b40d6b7b0a5f3b3a4197af34392e2c9e,Mexico,2021-02-09,Direccion Fisica,Media,2025-05-30
Cruz-Schultz,Energia,Panama,50,BR-00131,2022-02-15,2022-09-28,Credenciales Filtradas de Terceros,Media,3326507,4371576.76,US-001269,user_molinabrandi_1268,774713fda159c84741f713cf3e07d755,Brasil,2024-05-09,Historial Medico,Critica,2022-12-03
Powell Ltd,Gobierno,Brasil,50,BR-00050,2024-07-20,2025-01-05,Configuracion Erronea de Servidor,Alta,3832048,23648604.88,US-001704,user_sroberts_1703,5284c9e66f73f44a17f1bf08bf387740,Espana,2023-04-27,Numero de Identificacion,Alta,2025-01-11
"Combs, Kent and Higgins",Retail,Argentina,50000,BR-00432,2025-12-13,2026-06-28,Phishing,Alta,4732792,17005556.86,US-000272,user_markdavis_271,869a4815d08af3b2b647e291c066fa63,Brasil,2021-06-02,Historial de Transacciones,Alta,2026-09-08
Vargas PLC,Gobierno,Brasil,100,BR-00693,2023-01-27,2023-07-24,Configuracion Erronea de Servidor,Baja,3156080,11838729.29,US-001020,user_underwoodmichael_1019,7c2d0f41e123d7e76371eb8c380234de,Colombia,2025-07-30,Historial de Transacciones,Alta,2023-08-14
Brown and Sons,Tecnologia,Chile,100,BR-00320,2023-09-06,2024-03-14,Ransomware,Critica,3968786,12585211.8,US-007499,user_smitchell_7498,a15eaef856c2f62876ebb5c78eaeae4b,Uruguay,2020-10-05,Direccion Fisica,Media,2024-03-25
Vargas PLC,Gobierno,Brasil,100,BR-00538,2023-06-25,2023-09-11,Inyeccion SQL,Critica,2739994,14067604.53,US-007904,user_kylekane_7903,948612191a6ea4e443e6188ce7f3c9c3,Brasil,2023-12-12,Historial de Transacciones,Alta,2023-12-04
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00708,2024-04-27,2024-11-08,Insider Malicioso,Alta,3386461,2256550.02,US-006319,user_jellis_6318,5a8e4c41a26f89497521d120de17b651,Chile,2019-01-19,Historial de Transacciones,Alta,2024-12-16
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00717,2024-03-25,2024-11-17,Ataque a Cadena de Suministro,Alta,2725755,1127731.64,US-001339,user_melissaramirez_1338,27fcc01b3b7c6a6b3f7a872d92b06f61,Colombia,2023-12-02,Contrasena,Alta,2025-01-11
"Jefferson, Smith and Wilkerson",Telecomunicaciones,Peru,10000,BR-00736,2021-10-21,2022-01-15,Ransomware,Baja,1081844,14306693.08,US-001755,user_ryanduncan_1754,b258455b160191eca29347e02f82ed0a,Espana,2017-09-04,Contrasena,Alta,2022-03-07
"Clark, Cox and Schmidt",Finanzas,Brasil,25000,BR-00321,2023-07-14,2023-11-30,Insider Malicioso,Baja,397615,9037853.51,US-002587,user_melissajackson_2586,2310cb22b0705d86325226d19ed379f0,Espana,2026-05-26,Historial de Transacciones,Alta,2024-01-23
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00071,2026-07-04,2026-08-05,Configuracion Erronea de Servidor,Baja,1696880,24523668.98,US-007160,user_julia52_7159,2cb5ed59e810e1e4a16d1155ede76d87,Argentina,2021-12-06,Contrasena,Alta,2026-09-22
Johnson Group,Tecnologia,Uruguay,50000,BR-00563,2022-12-11,2023-04-28,Configuracion Erronea de Servidor,Media,1110721,16048984.54,US-001386,user_amy69_1385,d06dc7ebf776b6a0b93a00c487b0efea,Costa Rica,2023-09-11,Correo Electronico,Media,2023-05-11
"Norton, Foster and Pacheco",Energia,Estados Unidos,1000,BR-00087,2024-11-23,2025-01-09,Ataque a Cadena de Suministro,Baja,608575,9260634.31,US-006472,user_hbryan_6471,9ec965a863713e77d9a4b9916bf05391,Chile,2020-11-08,Contrasena,Alta,2025-03-12
"Clark, Cox and Schmidt",Finanzas,Brasil,25000,BR-00049,2025-02-15,2025-04-07,Ataque de Fuerza Bruta,Alta,3613576,24249686.14,US-007725,user_krauselaura_7724,25fb7b5fc54f927ced86607775d8f3d9,Panama,2016-10-14,Direccion Fisica,Media,2025-04-11
